repo,first_seen,score,acceleration,quality,antispam,sources,stars_at_discovery,age_days,label_date,stars_at_label,growth_pct,breakout,commits_7d_at_label,open_issues_at_label
ruvnet/ruflo,2026-09-07,96,36,30,30,trending,71166,461,2026-09-14,72363,1.7,0,58,1000
vinzdg/codenotch,2026-09-07,96,36,30,30,search,783,1,2026-09-14,1549,97.8,0,100,26
EverettFish/holo-card-studio,2026-09-07,96,36,30,30,search,507,1,2026-09-14,1509,197.6,0,9,3
humanlayer/skills,2026-09-07,95,40,25,30,trending,3340,173,2026-09-14,4024,20.5,0,0,8
biusberline/cloudflare-turnstile-solver,2026-09-07,93,33,30,30,search,258,1,2026-09-14,317,22.9,0,0,0
donvito/codex-astra-luna-orchestrator,2026-09-07,93,33,30,30,search,255,1,2026-09-14,1242,387.1,1,9,3
BoardUI/boardui,2026-09-07,91,31,30,30,search,299,5,2026-09-14,437,46.2,0,0,0
wz1119/Codex-Minecraft-Gameplay,2026-09-07,88,28,30,30,ai-trending,86,1,2026-09-14,157,82.6,0,1,0
marsbos/mador,2026-09-07,87,27,30,30,hn,83,1,2026-09-14,119,43.4,0,0,0
The-Swarm-Corporation/AutoHedge,2026-09-08,99,39,30,30,trending,5332,636,,,,,0,22
coreyhaines31/marketingskills,2026-09-08,97,37,30,30,trending,48246,235,,,,,0,112
openai/skills,2026-09-08,93,38,25,30,trending,26115,286,,,,,0,297
timgordontg/engrim,2026-09-08,93,33,30,30,hn,190,80,,,,,40,4
okf-memory/okf-agent-memory,2026-09-08,92,32,30,30,search,468,2,,,,,73,3
Jarvis322/macos-sysdata,2026-09-08,88,33,30,25,search,560,2,,,,,76,0
heygen-com/hyperframes,2026-09-08,87,27,30,30,trending,46360,182,,,,,100,132
microsoft/markitdown,2026-09-08,87,27,30,30,trending,180563,663,,,,,32,649
Sadpainy/Stuxnet,2026-09-08,87,27,30,30,hn,69,1,,,,,98,0
Mantitup-Org/vista,2026-09-08,87,27,30,30,search,361,3,,,,,0,18
jo-inc/camofox-browser,2026-09-09,100,40,30,30,trending,10557,225,,,,,45,64
mksglu/context-mode,2026-09-09,100,40,30,30,trending,21433,197,,,,,11,243
MoonTechLab/LunaTV,2026-09-09,98,38,30,30,trending,10214,392,,,,,21,6
openai/NavierStokesAndEuler,2026-09-09,96,36,30,30,search,925,1,,,,,2,0
henryzawadzki6542/cloudflare-turnstile-bypass,2026-09-09,95,35,30,30,search,367,1,,,,,2,0
gazijarin/itsgiving,2026-09-09,94,34,30,30,search,341,1,,,,,5,8
Sophomoresty/turnstile-bypass,2026-09-09,94,34,30,30,search+rising,324,1,,,,,7,0
noskillish/bankmcp,2026-09-09,91,31,30,30,search,163,1,,,,,83,0
LBEILC/RhineLabUI,2026-09-09,90,30,30,30,search,146,1,,,,,83,0
ScottStevenson/SuperAstra,2026-09-09,89,29,30,30,search,219,2,,,,,0,0
ayghri/i-have-adhd,2026-09-10,100,40,30,30,trending,36063,119,,,,,29,65
pascalorg/editor,2026-09-10,99,39,30,30,trending,23176,328,,,,,100,23
Vincentwei1021/anything2explainer,2026-09-10,95,35,30,30,search,441,1,,,,,20,0
Edge0-AI/Edge0,2026-09-10,95,35,30,30,search,381,1,,,,,67,14
AI-FanGe/Microduck-build-tutorial,2026-09-10,94,34,30,30,search,611,5,,,,,10,9
OpenWAM-Official/OpenWAM,2026-09-10,94,34,30,30,search+hf-papers,466,4,,,,,62,1
achimala/dream-loop,2026-09-10,93,33,30,30,search,563,2,,,,,5,4
openai/plugins,2026-09-10,90,40,20,30,trending,6321,189,,,,,2,38
Colafornia/short-video-generator-AI,2026-09-10,90,30,30,30,rising,150,1,,,,,8,0
com-phantom/Phantom-Wallet-Desktop,2026-09-10,89,29,30,30,search,511,1,,,,,,
Tencent/teamai-cli,2026-09-11,100,40,30,30,trending,4053,136,,,,,100,31
vastsa/PI-Desktop,2026-09-11,100,40,30,30,trending,2526,1268,,,,,100,59
kevinzakka/mjbatch,2026-09-11,93,33,30,30,search,281,1,,,,,8,4
liquidslr/system-design-notes,2026-09-11,90,40,20,30,trending,19119,626,,,,,0,8
angusdevgo/IDM_Pro_Tool,2026-09-11,90,35,25,30,search,440,1,,,,,6,3
showlab/Show-Harness,2026-09-11,90,30,30,30,search+ai-trending+hf-papers,230,4,,,,,27,0
viettranx/3dviz-pro-max,2026-09-11,90,30,30,30,ai-trending,149,1,,,,,9,0
JustVugg/colibri,2026-09-11,89,29,30,30,trending,27615,71,,,,,100,127
diegosouzapw/OmniRoute,2026-09-11,88,28,30,30,trending,64530,209,,,,,100,737
crwdla/tokentab,2026-09-11,88,28,30,30,search,313,3,,,,,6,0
nashsu/llm_wiki,2026-09-12,100,40,30,30,trending,18923,156,,,,,0,264
alsk1992/CloddsBot,2026-09-12,99,39,30,30,trending,2268,228,,,,,24,29
armory3d/armorpaint,2026-09-12,97,37,30,30,trending,4801,3504,,,,,40,111
sumimakito/Mac-Duo,2026-09-12,96,36,30,30,search,613,1,,,,,21,23
mizzlelover/gongwen-gbt9704-skill,2026-09-12,93,33,30,30,search,517,2,,,,,33,0
nftechie/stonkfly,2026-09-12,91,31,30,30,search,345,2,,,,,1,2
nhovongoc0-max/meme-radar,2026-09-12,90,30,30,30,rising,144,1,,,,,3,0
SpaceDudem/text-humanizer,2026-09-12,87,27,30,30,search,544,3,,,,,9,4
kruzovic7/ai-data-extractor,2026-09-12,87,27,30,30,rising,72,1,,,,,6,0
perseval-BLR/DLSS5-NeuralScreen,2026-09-12,86,26,30,30,search,444,5,,,,,100,13
melgarafael/DeskcommCRM,2026-09-13,100,40,30,30,trending,1966,137,,,,,100,145
nab138/iloader,2026-09-13,96,36,30,30,trending,3183,315,,,,,6,262
Sonarr/Sonarr,2026-09-13,96,36,30,30,trending,15997,5465,,,,,8,90
p1neappleXpress/OpenFlux,2026-09-13,96,36,30,30,trending,1460,83,,,,,59,43
jihe520/MathModelAgent,2026-09-13,92,37,25,30,trending,5231,590,,,,,1,43
DefiLeoo/YOINK,2026-09-13,92,34,28,30,search,339,1,,,,,5,1
Chuloo/mural,2026-09-13,91,31,30,30,rising,176,1,,,,,16,13
rizqinrr/viserys-agent,2026-09-13,90,36,24,30,search,626,1,,,,,9,0
Phyzicalorg/Phyzical_org,2026-09-13,87,27,30,30,search,241,3,,,,,1,0
mirza-rizvi/ResolveHQ,2026-09-13,87,27,30,30,hn,135,10,,,,,6,0
asgeirtj/system_prompts_leaks,2026-09-14,100,40,30,30,trending,66282,499,,,,,13,56
vxcontrol/pentagi,2026-09-14,100,40,30,30,trending,24172,615,,,,,0,62
multimodal-art-projection/YuE,2026-09-14,100,40,30,30,trending,7939,599,,,,,21,14
SnailSploit/Claude-Red,2026-09-14,100,40,30,30,trending,4304,194,,,,,0,13
alphaXiv/OpenResearch,2026-09-14,99,39,30,30,trending,2252,99,,,,,22,11
yuliskov/SmartTube,2026-09-14,97,37,30,30,trending,33533,2238,,,,,23,712
yifanzhang-pro/recurrent-looped-tranformer,2026-09-14,96,36,30,30,search+ai-trending,619,1,,,,,20,1
eternityspring/reelbench-skills,2026-09-14,91,31,30,30,search,582,3,,,,,16,1
unstablebuild/rune,2026-09-14,91,31,30,30,search,484,3,,,,,90,66
suoha888/CJ-DeFi-Handbook,2026-09-14,89,29,30,30,rising,116,1,,,,,16,0
